,,,,,,,,
timestamp,Salinity_psu,SoundVelocity_meters_per_second,Temperature_celcius,VehicleAltitude_meters,VehicleDepth_meters,VehicleHeading_degrees,VehicleLatitude_degrees,VehicleLongitude_degress
2024-07-14T21:59:20.043Z,34.687,1532.21,1.81,2.92,4440.66,213.333,-14.209228,-81.709513
2024-07-14T21:59:30.024Z,34.687,1532.23,1.81,2.15,4441.6,217.529,-14.209232,-81.709505
2024-07-14T21:59:38.088Z,34.687,1532.24,1.81,1.4,4442.44,223.951,-14.209233,-81.7095
2024-07-14T21:59:40.043Z,34.687,1532.24,1.81,1.33,4442.52,227.032,-14.209234,-81.7095
2024-07-14T21:59:48.629Z,34.687,1532.24,1.81,1.26,4442.66,235.673,-14.209237,-81.709499
2024-07-14T21:59:50.026Z,34.687,1532.25,1.81,1.24,4442.68,235.876,-14.209237,-81.709499
2024-07-14T22:00:00.040Z,34.686,1532.25,1.82,1.11,4442.73,237.497,-14.209239,-81.709503
2024-07-14T22:00:01.197Z,34.686,1532.25,1.81,1.09,4442.75,237.645,-14.209239,-81.709504
2024-07-14T22:00:10.038Z,34.687,1532.26,1.81,0.88,4442.91,237.491,-14.209241,-81.709507
2024-07-14T22:00:16.017Z,34.686,1532.26,1.81,0.72,4443.03,236.217,-14.209243,-81.709509
2024-07-14T22:00:20.042Z,34.686,1532.26,1.81,0.66,4443.09,236.294,-14.209242,-81.70951
2024-07-14T22:00:30.037Z,34.687,1532.25,1.81,0.68,4443.09,239.502,-14.209244,-81.709509
2024-07-14T22:00:30.266Z,34.687,1532.25,1.81,0.66,4443.1,239.892,-14.209245,-81.709509
2024-07-14T22:00:40.038Z,34.687,1532.25,1.81,0.64,4443.14,242.803,-14.209245,-81.709509
2024-07-14T22:00:46.723Z,34.686,1532.25,1.81,0.68,4443.11,250.071,-14.209247,-81.70951
2024-07-14T22:00:50.048Z,34.687,1532.25,1.81,0.68,4443.11,254.729,-14.209248,-81.70951
2024-07-14T22:00:54.089Z,34.686,1532.25,1.81,0.68,4443.11,262.079,-14.209251,-81.70951
2024-07-14T22:01:00.100Z,34.686,1532.25,1.81,0.71,4443.09,273.422,-14.209254,-81.709509
2024-07-14T22:01:06.477Z,34.687,1532.25,1.81,0.71,4443.06,277.971,-14.209256,-81.70951
2024-07-14T22:01:10.118Z,34.686,1532.25,1.81,0.7,4443.06,279.338,-14.209256,-81.70951
2024-07-14T22:01:20.038Z,34.686,1532.25,1.81,0.61,4443.13,285.699,-14.209257,-81.70951
2024-07-14T22:01:30.048Z,34.686,1532.25,1.81,0.72,4443,294.626,-14.209261,-81.709511
2024-07-14T22:01:40.139Z,34.687,1532.25,1.81,0.6,4443.11,286.117,-14.209258,-81.709511
2024-07-14T22:01:50.043Z,34.686,1532.26,1.81,0.57,4443.13,279.415,-14.209256,-81.709511
2024-07-14T22:01:58.131Z,34.686,1532.26,1.81,0.53,4443.17,263.315,-14.209251,-81.709512
2024-07-14T22:02:00.044Z,34.686,1532.26,1.81,0.65,4443.09,263.293,-14.20925,-81.709512
2024-07-14T22:02:10.036Z,34.686,1532.28,1.82,0.8,4442.92,280.162,-14.209248,-81.709513
